frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
568;60;2099865;168393;17
569;60;2094225;167751;15
570;60;2087085;156356;15
571;60;2095470;168339;15
572;60;2109285;168133;15
573;60;2107140;169283;15
574;60;2096265;168072;15
575;60;2090355;168713;16
576;60;2098575;168558;16
577;60;2104380;167602;15
578;60;2080590;166812;14
579;60;2086575;166828;15
580;60;2088945;167205;15
581;60;2087460;167328;15
582;60;2085675;167622;16
583;60;2080575;166660;14
584;60;2090385;168105;15
585;60;2095890;167065;15
586;60;2088060;166397;15
587;60;2099655;166105;18
588;60;2086005;165660;15
589;60;2087955;165822;16
590;60;2089710;166182;15
591;60;2085375;166393;15
592;60;2078535;165313;15
593;60;2085510;166963;15
594;60;2085645;166442;15
595;60;2082990;168019;20
596;60;2078640;167316;23
597;60;2082525;167021;15
598;60;2086710;166050;16
599;60;2072565;166752;15
600;60;2076870;166395;15
601;60;2076090;164295;15
602;60;2056485;164480;15
603;60;2056815;163802;15
604;60;2069070;165637;15
605;60;2077695;164587;15
606;60;2066775;153157;16
607;60;2055120;164885;14
608;60;2055000;163535;15
609;60;2061405;164445;15
610;60;2054625;164273;15
611;60;2065260;163933;23
612;60;2059260;164175;15
613;60;2056335;163891;15
614;60;2070615;164383;16
615;60;2063070;164439;16
616;60;2071650;166040;16
617;60;2068575;165471;15
618;60;2083260;164629;15
619;60;2051190;163888;15
620;60;2072475;164450;15
621;60;2061765;165409;15
622;60;2070345;163727;15
623;60;2053515;162859;16
624;60;2050140;163175;27
625;60;2054790;163927;16
626;60;2048850;163256;15
627;60;2059725;163910;18
628;60;2070930;164520;15
629;60;2056740;164925;15
630;60;2073840;166480;15
631;60;2071335;154595;15
632;60;2071290;166386;17
633;60;2086260;166588;15
634;60;2077740;166409;20
635;60;2086590;167739;15
636;60;2074140;166232;15
637;60;2064930;165855;15
638;60;2067795;165073;15
639;60;2078820;165416;15
640;60;2062740;163568;15
641;60;2056515;163656;15
642;60;2060520;163105;15
643;60;2061420;163848;15
644;60;2069010;164719;15
