frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
532;15;2097000;50352;4
533;15;2099145;50725;5
534;15;2106915;50698;5
535;15;2095050;50815;4
536;15;2103300;50731;4
537;15;2092590;50648;4
538;15;2101770;50856;4
539;15;2102430;50576;4
540;15;2096145;49787;4
541;15;2093220;50928;4
542;15;2088870;50438;4
543;15;2084775;50056;4
544;15;2083275;50452;4
545;15;2074620;49385;4
546;15;2075235;49258;5
547;15;2075265;49621;5
548;15;2081145;50166;5
549;15;2077440;49690;5
550;15;2073000;49209;5
551;15;2080410;49731;4
552;15;2081940;49581;4
553;15;2092170;49567;5
554;15;2090355;49721;4
555;15;2081415;50039;5
556;15;2089365;50133;4
557;15;2089200;49838;4
558;15;2090115;49837;4
559;15;2094255;50068;4
560;15;2100225;50492;4
561;15;2112360;50514;4
562;15;2114400;50588;5
563;15;2097075;50526;5
564;15;2092500;49712;5
565;15;2102250;50709;4
566;15;2104470;50329;5
567;15;2096340;49817;4
568;15;2099865;50198;4
569;15;2094225;49749;4
570;15;2087085;49989;4
571;15;2095470;50664;4
572;15;2109285;50160;4
573;15;2107140;50502;4
574;15;2096265;50334;4
575;15;2090355;50409;5
576;15;2098575;50270;5
577;15;2104380;49807;4
578;15;2080590;49661;4
579;15;2086575;49696;5
580;15;2088945;50041;4
581;15;2087460;49965;4
582;15;2085675;49645;4
583;15;2080575;49714;4
584;15;2090385;50291;4
585;15;2095890;49945;4
586;15;2088060;49825;4
587;15;2099655;49684;4
588;15;2086005;49471;4
589;15;2087955;49716;5
590;15;2089710;49906;5
591;15;2085375;49665;5
592;15;2078535;49603;4
593;15;2085510;49773;4
594;15;2085645;49838;5
595;15;2082990;50391;5
596;15;2078640;49763;5
597;15;2082525;49991;5
598;15;2086710;49694;4
599;15;2072565;49785;5
600;15;2076870;49889;4
601;15;2076090;49190;5
602;15;2056485;49152;4
603;15;2056815;48859;4
604;15;2069070;49905;4
605;15;2077695;49250;4
606;15;2066775;48909;4
607;15;2055120;49386;4
608;15;2055000;49019;10
609;15;2061405;48947;4
610;15;2054625;49267;5
611;15;2065260;49272;5
612;15;2059260;49091;4
613;15;2056335;49166;4
614;15;2070615;49188;4
615;15;2063070;49153;4
616;15;2071650;49755;4
617;15;2068575;49337;4
618;15;2083260;49287;4
619;15;2051190;49030;4
620;15;2072475;48612;5
621;15;2061765;49359;4
622;15;2070345;49401;5
623;15;2053515;48805;4
624;15;2050140;48644;4
625;15;2054790;48926;4
626;15;2048850;48898;4
627;15;2059725;48848;4
628;15;2070930;49238;4
629;15;2056740;49329;4
630;15;2073840;49680;4
631;15;2071335;46585;4
632;15;2071290;49794;4
633;15;2086260;49982;4
634;15;2077740;49772;4
635;15;2086590;50199;4
636;15;2074140;50007;4
637;15;2064930;49037;4
638;15;2067795;49332;4
639;15;2078820;49295;4
640;15;2062740;49407;4
641;15;2056515;48799;5
642;15;2060520;48791;4
643;15;2061420;49195;5
644;15;2069010;49590;5
645;15;2070690;46086;4
646;15;2068155;49172;4
647;15;2060625;48828;4
648;15;2061510;49240;4
649;15;2064315;49049;4
650;15;2071980;49202;4
651;15;2067705;48971;4
652;15;2067165;49154;5
653;15;2078385;49741;4
654;15;2075805;49800;5
655;15;2082495;49160;4
656;15;2071410;49550;4
657;15;2080890;49515;4
658;15;2054295;49023;4
659;15;2069295;49463;4
660;15;2069445;49172;4
661;15;2069535;49020;4
662;15;2080530;49724;4
663;15;2076135;49667;4
664;15;2071215;49777;4
665;15;2072580;49846;4
666;15;2081475;50136;4
667;15;2068950;50015;4
668;15;2080860;49999;4
669;15;2078580;49892;4
670;15;2087280;49523;4
671;15;2077770;49252;4
672;15;2084295;49729;4
673;15;2085540;49685;4
674;15;2095650;49774;4
675;15;2100675;49656;4
676;15;2092350;49486;4
677;15;2057535;49156;4
678;15;2062275;49061;4
679;15;2067465;48991;4
680;15;2061555;48610;4
681;15;2069880;49274;4
682;15;2078295;48981;4
683;15;2065065;49225;4
684;15;2070555;49379;4
685;15;2066595;48661;4
686;15;2062230;49229;4
687;15;2067225;49352;5
688;15;2075055;49390;5
689;15;2082045;49543;5
690;15;2080125;49757;4
691;15;2075130;49757;4
692;15;2065260;49368;4
693;15;2070420;49619;4
694;15;2057670;48839;4
695;15;2056800;48543;4
696;15;2058615;48285;4
697;15;2059800;48480;4
698;15;2060895;48594;4
699;15;2062380;48692;4
